1413741615 utime cmd  I(cA)    SOC   stat  on mea bal  tr  yr  mo  dy  hr  mn sc   ti
1413741863 249222 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741864 250223 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741865 251230 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741866 252241 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741867 253247 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741868 254250 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741869 255256 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741870 256263 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741871 257265 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741872 258267 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741873 259273 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741874 260280 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741875 261285 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741876 262291 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741877 263295 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741878 264297 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741879 265299 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741880 266300 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741881 267304 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741882 268307 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741883 269313 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741884 270316 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741885 271319 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741886 272323 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741887 273331 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
