1413747310 utime AM_vel(rpm) AM_supV(dV) AM_supI(dA)
1413747439 131167 -18192 -18703 -19072
1413747439 131420 -18192 -18703 -19072
1413747439 131674 -18192 -18703 -19072
1413747439 131930 -18192 -18703 -19072
1413747440 132184 -18192 -18703 -19072
1413747440 132435 -18192 -18703 -19072
1413747440 132690 -18192 -18703 -19072
1413747440 132946 -18192 -18703 -19072
1413747441 133200 -18192 -18703 -19072
1413747441 133452 -18192 -18703 -19072
1413747441 133707 -18192 -18703 -19072
1413747441 133969 -18192 -18703 -19072
1413747442 134223 -18192 -18703 -19072
1413747442 134478 -18192 -18703 -19072
1413747442 134729 -18192 -18703 -19072
1413747442 134986 -18192 -18703 -19072
1413747443 135243 -18192 -18703 -19072
1413747443 135495 -18192 -18703 -19072
1413747443 135747 -18192 -18703 -19072
1413747443 135998 -18192 -18703 -19072
1413747444 136255 -18192 -18703 -19072
1413747444 136509 -18192 -18703 -19072
1413747444 136760 -18192 -18703 -19072
1413747445 137014 -18192 -18703 -19072
1413747445 137268 -18192 -18703 -19072
1413747445 137525 -18192 -18703 -19072
1413747445 137778 -18192 -18703 -19072
1413747446 138031 -18192 -18703 -19072
1413747446 138287 -18192 -18703 -19072
1413747446 138545 -18192 -18703 -19072
1413747446 138801 -18192 -18703 -19072
1413747447 139055 -18192 -18703 -19072
1413747447 139311 -18192 -18703 -19072
1413747447 139563 -18192 -18703 -19072
1413747447 139820 -18192 -18703 -19072
1413747448 140086 -18192 -18703 -19072
1413747448 140338 -18192 -18703 -19072
1413747448 140597 -18192 -18703 -19072
1413747448 140852 -18192 -18703 -19072
1413747449 141109 -18192 -18703 -19072
1413747449 141360 -18192 -18703 -19072
1413747449 141613 -18192 -18703 -19072
1413747449 141869 -18192 -18703 -19072
1413747450 142125 -18192 -18703 -19072
1413747450 142376 -18192 -18703 -19072
1413747450 142630 -18192 -18703 -19072
1413747450 142883 -18192 -18703 -19072
1413747451 143137 -18192 -18703 -19072
1413747451 143390 -18192 -18703 -19072
1413747451 143646 -18192 -18703 -19072
1413747451 143901 -18192 -18703 -19072
1413747452 144155 -18192 -18703 -19072
1413747452 144412 -18192 -18703 -19072
1413747452 144668 -18192 -18703 -19072
1413747452 144927 -18192 -18703 -19072
1413747453 145184 -18192 -18703 -19072
1413747453 145440 -18192 -18703 -19072
1413747453 145691 -18192 -18703 -19072
1413747453 145948 -18192 -18703 -19072
1413747454 146199 -18192 -18703 -19072
1413747454 146451 -18192 -18703 -19072
1413747454 146709 -18192 -18703 -19072
1413747454 146965 -18192 -18703 -19072
1413747455 147217 -18192 -18703 -19072
1413747455 147472 -18192 -18703 -19072
1413747455 147730 -18192 -18703 -19072
1413747455 147990 -18192 -18703 -19072
1413747456 148245 -18192 -18703 -19072
1413747456 148502 -18192 -18703 -19072
1413747456 148757 -18192 -18703 -19072
1413747457 149009 -18192 -18703 -19072
1413747457 149260 -18192 -18703 -19072
1413747457 149516 -18192 -18703 -19072
1413747457 149772 -18192 -18703 -19072
1413747458 150025 -18192 -18703 -19072
1413747458 150282 -18192 -18703 -19072
1413747458 150536 -18192 -18703 -19072
1413747458 150787 -18192 -18703 -19072
1413747459 151039 -18192 -18703 -19072
1413747459 151296 -18192 -18703 -19072
1413747459 151550 -18192 -18703 -19072
1413747459 151805 -18192 -18703 -19072
1413747460 152058 -18192 -18703 -19072
1413747460 152311 -18192 -18703 -19072
1413747460 152564 -18192 -18703 -19072
1413747460 152821 -18192 -18703 -19072
1413747461 153076 -18192 -18703 -19072
1413747461 153328 -18192 -18703 -19072
1413747461 153585 -18192 -18703 -19072
1413747461 153840 -18192 -18703 -19072
1413747462 154095 -18192 -18703 -19072
1413747462 154350 -18192 -18703 -19072
1413747462 154605 -18192 -18703 -19072
1413747462 154859 -18192 -18703 -19072
1413747463 155115 -18192 -18703 -19072
1413747463 155370 -18192 -18703 -19072
1413747463 155621 -18192 -18703 -19072
1413747463 155879 -18192 -18703 -19072
1413747464 156137 -18192 -18703 -19072
1413747464 156395 -18192 -18703 -19072
1413747464 156648 -18192 -18703 -19072
1413747464 156905 -18192 -18703 -19072
1413747465 157162 -18192 -18703 -19072
1413747465 157416 -18192 -18703 -19072
1413747465 157672 -18192 -18703 -19072
1413747465 157924 -18192 -18703 -19072
1413747466 158185 -18192 -18703 -19072
1413747466 158440 -18192 -18703 -19072
1413747466 158697 -18192 -18703 -19072
1413747466 158949 -18192 -18703 -19072
1413747467 159211 -18192 -18703 -19072
1413747467 159465 -18192 -18703 -19072
1413747467 159716 -18192 -18703 -19072
1413747467 159971 -18192 -18703 -19072
1413747468 160227 -18192 -18703 -19072
1413747468 160483 -18192 -18703 -19072
1413747468 160738 -18192 -18703 -19072
1413747469 161003 -18192 -18703 -19072
1413747469 161262 -18192 -18703 -19072
1413747469 161519 -18192 -18703 -19072
1413747469 161777 -18192 -18703 -19072
1413747470 162035 -18192 -18703 -19072
1413747470 162291 -18192 -18703 -19072
1413747470 162543 -18192 -18703 -19072
1413747470 162795 -18192 -18703 -19072
1413747471 163048 -18192 -18703 -19072
1413747471 163304 -18192 -18703 -19072
1413747471 163560 -18192 -18703 -19072
1413747471 163811 -18192 -18703 -19072
1413747472 164067 -18192 -18703 -19072
1413747472 164326 -18192 -18703 -19072
1413747472 164583 -18192 -18703 -19072
1413747472 164836 -18192 -18703 -19072
1413747473 165091 -18192 -18703 -19072
1413747473 165351 -18192 -18703 -19072
1413747473 165604 -18192 -18703 -19072
1413747473 165859 -18192 -18703 -19072
1413747474 166116 -18192 -18703 -19072
1413747474 166368 -18192 -18703 -19072
1413747474 166625 -18192 -18703 -19072
1413747474 166880 -18192 -18703 -19072
1413747475 167137 -18192 -18703 -19072
1413747475 167394 -18192 -18703 -19072
1413747475 167645 -18192 -18703 -19072
1413747475 167901 -18192 -18703 -19072
1413747476 168152 -18192 -18703 -19072
1413747476 168408 -18192 -18703 -19072
1413747476 168661 -18192 -18703 -19072
1413747476 168915 -18192 -18703 -19072
1413747477 169186 -18192 -18703 -19072
1413747477 169440 -18192 -18703 -19072
1413747477 169696 -18192 -18703 -19072
1413747477 169952 -18192 -18703 -19072
1413747478 170208 -18192 -18703 -19072
1413747478 170461 -18192 -18703 -19072
1413747478 170717 -18192 -18703 -19072
1413747478 170972 -18192 -18703 -19072
1413747479 171230 -18192 -18703 -19072
1413747479 171481 -18192 -18703 -19072
1413747479 171737 -18192 -18703 -19072
1413747479 171988 -18192 -18703 -19072
1413747480 172241 -18192 -18703 -19072
1413747480 172498 -18192 -18703 -19072
1413747480 172749 -18192 -18703 -19072
1413747481 173002 -18192 -18703 -19072
1413747481 173255 -18192 -18703 -19072
1413747481 173514 -18192 -18703 -19072
1413747481 173770 -18192 -18703 -19072
1413747482 174027 -18192 -18703 -19072
