1413747310 utime  bx(uT) by(uT) bz(uT)  B(uT) ax    ay  az     A     gx   gy    gz   T(C) rate  track tilt roll
1413747310 mins  -1000 -1000 -1000     0    -2000 -2000 -2000  0   -2000  -2000 -2000 -2000  0  0  -180 -180
1413747310 maxs   1000  1000  1000    1000   2000  2000  2000 2000  2000   2000  2000  2000  37000 360 180 180
1413747310 attr     F     F     F      F      F     F    F     F     F      F     F     F     I F F F
1413747450 142902 33.2791 26.5472 -0.67077 42.5758 -8.75944 -0.653958 3.26872 9.3723 1.7445 4.21833 -1.02372 42.7871 7 0 0 0
1413747451 143910 33.7254 26.6127 -0.728121 42.967 -8.76893 -0.65181 3.25561 9.37646 1.70145 5.21406 -1.3887 42.8433 8 0 0 0
1413747452 144911 33.6459 26.8636 -0.752937 43.0612 -8.77157 -0.636474 3.2726 9.38379 2.63856 6.23454 -1.43884 42.7913 8 0 0 0
1413747453 145916 33.6978 26.9126 -0.5806 43.1297 -8.75735 -0.646225 3.28873 9.37681 2.39113 5.37689 -0.636211 42.8169 8 0 0 0
1413747454 146923 33.5727 26.4209 -0.534399 42.7256 -8.77398 -0.644276 3.23369 9.37307 2.10939 5.7755 -1.89816 42.8245 7 0 0 0
1413747455 147927 33.7697 26.74 -1.09953 43.0886 -8.7592 -0.653605 3.27769 9.37518 0.559886 5.12986 -0.143631 42.782 7 0 0 0
1413747456 148945 33.3033 26.5819 -0.705505 42.617 -8.74984 -0.650172 3.27092 9.36383 3.23229 5.49787 -1.63756 42.7597 9 0 0 0
1413747457 149951 33.5491 26.3807 -0.340593 42.6802 -8.7307 -0.672999 3.2684 9.34668 3.17781 5.33032 -1.59738 42.8425 8 0 0 0
1413747458 150954 33.2461 26.6484 -1.08324 42.6218 -8.77944 -0.626557 3.29712 9.39905 2.43272 5.16576 -1.46561 42.9259 8 0 0 0
1413747459 151957 33.221 26.542 -0.822336 42.5299 -8.75248 -0.656411 3.28216 9.37066 1.10987 5.75191 -1.84814 42.8528 9 0 0 0
1413747460 152959 33.3634 26.5255 -0.614093 42.6274 -8.7504 -0.643334 3.2749 9.36528 2.22013 6.10475 -2.65858 42.9072 7 0 0 0
1413747461 153960 33.5666 26.6537 -0.735238 42.8682 -8.76587 -0.645191 3.28728 9.38419 3.66406 4.14463 -2.30748 42.8669 9 0 0 0
1413747462 154967 33.4888 26.6966 -0.587913 42.8317 -8.75915 -0.649073 3.29721 9.38166 2.81054 5.41693 0.108044 42.7551 8 0 0 0
1413747463 155968 33.5683 26.8928 -0.867455 43.021 -8.75653 -0.664395 3.27677 9.37312 2.3084 4.32186 -1.70835 42.8611 7 0 0 0
1413747464 156973 33.3869 26.8353 -0.804181 42.8423 -8.75626 -0.690013 3.27673 9.37471 2.97847 4.67174 -1.74492 42.959 8 0 0 0
1413747465 157981 33.1799 26.9856 -0.467481 42.7709 -8.74656 -0.649727 3.26569 9.35891 1.92533 5.30503 -1.05799 42.9231 8 0 0 0
1413747466 158983 33.2504 26.4931 -0.43203 42.5166 -8.75908 -0.652941 3.26443 9.3704 2.40304 4.60026 -1.60402 42.9784 7 0 0 0
1413747467 159986 33.4995 26.5422 -0.629251 42.7446 -8.75632 -0.635 3.2727 9.36947 3.53186 5.50775 -1.88636 42.8692 8 0 0 0
1413747468 160988 33.7576 26.9939 -0.531428 43.2265 -8.75472 -0.674399 3.2806 9.37349 1.04901 4.3654 -0.426335 42.8343 8 0 0 0
1413747469 161996 33.5547 26.7492 -0.413384 42.914 -8.77292 -0.64111 3.27325 9.38559 1.54176 5.59753 -1.10508 42.892 9 0 0 0
1413747471 163000 33.3322 26.7569 -0.715604 42.7491 -8.75531 -0.625895 3.25955 9.36333 2.65948 4.3582 -1.69762 42.9645 8 0 0 0
1413747472 164006 33.7136 26.9884 -0.472046 43.188 -8.76403 -0.658194 3.27341 9.37852 1.32443 4.8493 -1.01987 42.8355 7 0 0 0
1413747473 165013 33.7524 26.6662 -0.657051 43.0202 -8.75654 -0.63219 3.27605 9.37065 1.33042 5.54209 -1.83428 42.9624 9 0 0 0
